"행정구역별",2018,2018,2019,2019,2020,2020,2021,2021
"행정구역별",1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구),1인가구<br>(A) (가구)
"행정구역별",원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률),원데이터,전년 대비 증감 (증감률)
"전국",5848594,229917 (4.1),6147516,298922 (5.1),6643354,495838 (8.1),7165788,522434 (7.9)
"서울특별시",1229421,48881 (4.1),1299787,70366 (5.7),1390701,90914 (7.0),1489893,99192 (7.1)
"부산광역시",404408,15509 (4.0),423227,18819 (4.7),455207,31980 (7.6),487362,32155 (7.1)
"대구광역시",269903,10378 (4.0),284416,14513 (5.4),304543,20127 (7.1),326866,22323 (7.3)
"인천광역시",275898,9464 (3.6),297865,21967 (8.0),324841,26976 (9.1),355657,30816 (9.5)
"광주광역시",174614,3190 (1.9),182364,7750 (4.4),193948,11584 (6.4),212385,18437 (9.5)
"대전광역시",195544,7408 (3.9),205165,9621 (4.9),228842,23677 (11.5),240932,12090 (5.3)
"울산광역시",110236,2739 (2.5),116015,5779 (5.2),122848,6833 (5.9),133061,10213 (8.3)
"세종특별자치시",35763,4291 (13.6),39078,3315 (9.3),43577,4499 (11.5),45706,2129 (4.9)
"경기도",1197586,73045 (6.5),1290893,93307 (7.8),1406010,115117 (8.9),1543100,137090 (9.8)
"강원도",206295,6650 (3.3),208857,2562 (1.2),231371,22514 (10.8),245012,13641 (5.9)
"충청북도",204109,8923 (4.6),215196,11087 (5.4),236208,21012 (9.8),252251,16043 (6.8)
"충청남도",270497,10770 (4.1),280773,10276 (3.8),304973,24200 (8.6),327432,22459 (7.4)
"전라북도",232587,4987 (2.2),238746,6159 (2.6),255269,16523 (6.9),276153,20884 (8.2)
"전라남도",235062,3040 (1.3),238147,3085 (1.3),256633,18486 (7.8),274108,17475 (6.8)
"경상북도",353702,6704 (1.9),360213,6511 (1.8),388791,28578 (7.9),416697,27906 (7.2)
"경상남도",379719,9426 (2.5),391421,11702 (3.1),417737,26316 (6.7),450490,32753 (7.8)
"제주특별자치도",73250,4512 (6.6),75353,2103 (2.9),81855,6502 (8.6),88683,6828 (8.3)
